state_code,district,party,name,gender,ethnicity,religion,date_of_birth,entered_office
ID,1,republican,Russ Fulcher,male,white-american,unspecified,1962-03-09,2019-01-03
ID,2,republican,Mike Simpson,male,white-american,mormon,1950-09-08,1999-01-06
IA,1,democrat,Abby Finkenauer,female,white-american,unspecified,1988-12-27,2019-01-03
IA,3,democrat,Cynthia Axne,female,white-american,unspecified,1965-04-20,2019-01-03
IL,1,democrat,Bobby Rush,male,african-american,baptist,1946-11-23,1993-01-05
IL,2,democrat,Robin Kelly,female,african-american,christian,1956-04-30,2013-04-09
IL,3,democrat,Daniel Lipinski,male,white-american,roman-catholic,1966-07-15,2005-01-04
IL,4,democrat,Jesús García,male,hispanic-american,unspecified,1956-04-12,2019-01-03
IL,5,democrat,Mike Quigley,male,white-american,roman-catholic,1958-10-17,2009-04-07
IL,6,democrat,Sean Casten,male,white-american,unspecified,1971-11-23,2019-01-03
IL,7,democrat,Danny Davis,male,african-american,baptist,1941-09-06,1997-01-07
IL,8,democrat,Raja Krishnamoorthi,male,asian-american,hindu,1973-07-19,2017-01-03
IL,9,democrat,Janice Schakowsky,female,white-american,jewish,1944-05-26,1999-01-06
IL,10,democrat,Bradley Schneider,male,white-american,jewish,1961-08-20,2013-01-03
IL,11,democrat,Bill Foster,male,white-american,unspecified,1955-10-07,2008-03-08
IL,13,republican,Rodney Davis,male,white-american,roman-catholic,1970-01-05,2013-01-03
IL,15,republican,John Shimkus,male,white-american,lutheran,1958-02-21,1997-01-07
IL,16,republican,Adam Kinzinger,male,white-american,protestant,1978-02-27,2011-01-05
IL,17,democrat,Cheri Bustos,female,white-american,roman-catholic,1961-10-17,2013-01-03
IL,18,republican,Darin LaHood,male,white-american,roman-catholic,1968-07-05,2015-09-17
IN,1,democrat,Pete Visclosky,male,white-american,roman-catholic,1949-08-13,1985-01-03
IN,2,republican,Jackie Walorski,female,white-american,evangelical,1963-08-17,2013-01-03
IN,3,republican,Jim Banks,male,white-american,unspecified,1979-07-16,2017-01-03
IN,4,republican,James Baird,male,white-american,unspecified,1945-06-04,2019-01-03
IN,5,republican,Susan Brooks,female,white-american,roman-catholic,1960-08-25,2013-01-03
IN,6,republican,Greg Pence,male,white-american,unspecified,1956-11-14,2019-01-03
IN,7,democrat,André Carson,male,african-american,muslim,1974-10-16,2008-03-13
IL,12,republican,Mike Bost,male,white-american,southern-baptist,1960-12-30,2015-01-06
IN,8,republican,Larry Bucshon,male,white-american,lutheran,1962-05-31,2011-01-05
IN,9,republican,Trey Hollingsworth,male,white-american,unspecified,1983-09-12,2017-01-03
IL,14,democrat,Lauren Underwood,female,african-american,unspecified,1986-10-04,2019-01-03
KS,1,republican,Roger Marshall,male,white-american,unspecified,1960-08-09,2017-01-03
KS,2,republican,Steven Watkins,male,white-american,unspecified,1976-09-18,2019-01-03
KS,3,democrat,Sharice Davids,female,native-american,unspecified,1980-05-22,2019-01-03
KY,1,republican,James Comer,male,white-american,methodist,1972-08-19,2016-11-14
KY,3,democrat,John Yarmuth,male,white-american,jewish,1947-11-04,2007-01-04
KY,4,republican,Thomas Massie,male,white-american,christian,1971-01-13,2012-11-13
KS,4,republican,Ron Estes,male,white-american,lutheran,1956-07-19,2017-04-25
KY,5,republican,Harold Rogers,male,white-american,southern-baptist,1937-12-31,1981-01-05
KY,6,republican,Andy Barr,male,white-american,episcopalian,1973-07-24,2013-01-03
LA,1,republican,Steve Scalise,male,white-american,roman-catholic,1965-10-06,2008-05-07
LA,2,democrat,Cedric Richmond,male,african-american,baptist,1973-09-13,2011-01-05
LA,3,republican,Clay Higgins,male,white-american,christian,1961-08-24,2017-01-03
LA,4,republican,Mike Johnson,male,white-american,southern-baptist,1972-01-30,2017-01-03
LA,5,republican,Ralph Abraham,male,white-american,southern-baptist,1954-09-16,2015-01-06
KY,2,republican,Brett Guthrie,male,white-american,church-of-christ,1964-02-18,2009-01-06
LA,6,republican,Garret Graves,male,white-american,roman-catholic,1972-01-31,2015-01-06
MA,1,democrat,Richard Neal,male,white-american,roman-catholic,1949-02-14,1989-01-03
MA,2,democrat,James McGovern,male,white-american,roman-catholic,1959-11-20,1997-01-07
MA,3,democrat,Lori Trahan,female,white-american,unspecified,1973-10-27,2019-01-03
MA,5,democrat,Katherine Clark,female,white-american,christian,1963-07-17,2013-12-12
MA,4,democrat,Joe Kennedy,male,white-american,roman-catholic,1980-10-04,2013-01-03
MA,6,democrat,Seth Moulton,male,white-american,christian,1978-10-24,2015-01-06
MA,7,democrat,Ayanna Pressley,female,white-american,unspecified,1974-02-03,2019-01-03
MA,8,democrat,Stephen Lynch,male,white-american,roman-catholic,1955-03-31,2001-10-23
MA,9,democrat,William Keating,male,white-american,roman-catholic,1952-09-06,2011-01-05
MD,1,republican,Andy Harris,male,white-american,roman-catholic,1957-01-25,2011-01-05
MD,2,democrat,Dutch Ruppersberger,male,white-american,methodist,1946-01-31,2003-01-07
MD,3,democrat,John Sarbanes,male,white-american,eastern-orthodox,1962-05-22,2007-01-04
MD,4,democrat,Anthony Brown,male,african-american,roman-catholic,1961-11-21,2017-01-03
MD,5,democrat,Steny Hoyer,male,white-american,baptist,1939-06-14,1981-01-05
MD,6,democrat,David Trone,male,white-american,unspecified,1955-09-21,2019-01-03
MD,7,democrat,Elijah Cummings,male,african-american,baptist,1951-01-18,1996-04-16
MD,8,democrat,Jamie Raskin,male,white-american,jewish,1962-12-13,2017-01-03
ME,1,democrat,Chellie Pingree,female,white-american,lutheran,1955-04-02,2009-01-06
ME,2,democrat,Jared Golden,male,white-american,unspecified,1982-07-25,2019-01-03
MI,1,republican,Jack Bergman,male,white-american,unspecified,1947-02-02,2017-01-03
MI,2,republican,Bill Huizenga,male,white-american,christian-reformed,1969-01-31,2011-01-05
MI,3,republican,Justin Amash,male,white-american,eastern-orthodox,1980-04-18,2011-01-05
